Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2017-10-12,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-10-13,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-10-16,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-10-17,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-10-19,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-10-20,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-10-23,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-10-24,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-10-25,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-10-26,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-10-27,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-10-30,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-10-31,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-01,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-02,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-03,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-06,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-07,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-08,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-09,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-10,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-13,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-14,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-15,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-16,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-17,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-20,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-21,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-22,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-23,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-24,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-27,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-28,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-29,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-11-30,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-01,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-04,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-05,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-06,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-07,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-08,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-11,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-12,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-13,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-14,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-15,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-18,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-19,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-20,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-21,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-22,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-26,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-27,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-28,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2017-12-29,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-02,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-03,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-04,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-05,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-08,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-09,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-10,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-11,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-12,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-15,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-16,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-17,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-18,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-19,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-22,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-23,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-24,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-25,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-26,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-29,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-30,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-01-31,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-01,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-02,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-05,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-06,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-07,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-08,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-09,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-12,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-13,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-14,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-15,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-19,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-20,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-21,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-22,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-23,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-26,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-27,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-02-28,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-01,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-02,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-05,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-06,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-07,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-08,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-09,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-12,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-13,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-14,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-15,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-16,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-19,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-20,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-21,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-22,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-23,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-26,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-27,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-28,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-03-29,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-02,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-03,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-04,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-05,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-06,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-09,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-10,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-11,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-12,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-13,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-16,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-17,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-18,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-19,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-20,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-23,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-24,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-25,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-26,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-27,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-04-30,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-02,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-03,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-04,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-07,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-08,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-09,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-10,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-11,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-14,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-15,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-16,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-17,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-18,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-21,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-22,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-23,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-24,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-25,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-28,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-30,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-05-31,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-01,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-04,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-05,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-06,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-07,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-08,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-11,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-12,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-13,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-14,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-18,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-19,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-20,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-21,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-22,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-25,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-26,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-27,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-28,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-06-29,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-02,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-03,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-04,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-05,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-06,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-09,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-10,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-11,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-12,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-13,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-16,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-17,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-18,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-19,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-20,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-23,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-24,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-25,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-26,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-27,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-30,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-07-31,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-01,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-02,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-03,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-06,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-07,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-08,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-10,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-13,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-14,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-15,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-16,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-17,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-20,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-21,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-23,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-24,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-27,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-28,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-29,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-30,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-08-31,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-03,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-04,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-05,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-06,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-07,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-10,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-11,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-12,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-13,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-14,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-17,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-18,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-19,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-20,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-21,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-24,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-25,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-26,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-27,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-09-28,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-01,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-02,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-03,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-04,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-05,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-08,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-09,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-10,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-11,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-12,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-15,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-16,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-17,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-18,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-19,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-22,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-23,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-24,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-25,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-26,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-29,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-30,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-10-31,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-01,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-02,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-05,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-07,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-08,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-09,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-12,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-13,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-14,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-15,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-16,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-19,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-20,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-21,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-22,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-23,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-26,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-27,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-28,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-29,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-11-30,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-03,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-04,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-05,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-06,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-07,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-10,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-11,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-12,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-13,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-14,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-17,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-18,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-19,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-20,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-21,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-24,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-26,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-27,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-28,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2018-12-31,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-01,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-02,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-03,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-04,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-07,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-08,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-09,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-10,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-11,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-14,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-15,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-16,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-17,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-18,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-21,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-22,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-23,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-24,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-25,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-28,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-29,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-30,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-01-31,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-02-01,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-02-04,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-02-05,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-02-07,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-02-08,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-02-11,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-02-12,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-02-13,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-02-14,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-02-15,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
2019-02-18,6.2,6.2,6.2,6.2,0,0.0,0.0,0.0,0.0
