Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2018-03-28,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-03-29,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-02,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-03,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-04,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-05,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-06,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-09,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-10,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-11,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-12,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-13,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-16,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-17,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-18,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-19,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-20,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-23,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-24,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-25,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-26,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-27,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-04-30,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-02,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-03,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-04,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-08,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-09,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-10,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-11,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-14,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-15,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-16,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-17,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-18,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-21,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-22,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-23,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-24,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-25,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-28,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-30,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-05-31,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-01,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-04,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-05,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-06,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-08,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-11,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-12,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-13,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-14,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-18,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-19,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-20,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-21,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-22,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-25,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-26,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-27,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-28,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-06-29,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-07-02,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-07-03,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-07-04,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-07-05,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-07-06,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-07-09,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-07-10,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-07-11,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-07-12,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2018-07-13,0.02,0.02,0.02,0.02,3000.0,0.0,-0.7143,60.0,1.2
2018-07-16,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-07-17,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-07-18,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-07-19,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-07-20,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-07-23,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-07-24,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-07-25,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-07-26,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-07-27,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-07-30,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-07-31,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-08-01,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-08-02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2018-08-03,0.02,0.02,0.02,0.02,1000.0,0.0,0.0,20.0,1.6
2018-08-06,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-07,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-08,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-10,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-13,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-14,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-15,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-16,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-17,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-20,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-21,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-23,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-24,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-27,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-28,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-29,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-30,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-08-31,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-03,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-04,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-05,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-06,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-07,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-10,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-11,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-12,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-13,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-14,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-17,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-18,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-19,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-20,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-21,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-24,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.6
2018-09-25,0.01,0.01,0.01,0.01,1000.0,0.0,-0.5,10.0,0.6
2018-09-26,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-09-27,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-09-28,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-10-01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-10-02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-10-03,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-10-04,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-10-05,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-10-08,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-10-09,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-10-10,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-10-11,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-10-12,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-10-15,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.6
2018-10-16,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.2
2018-10-17,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.2
2018-10-18,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.2
2018-10-19,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.2
2018-10-22,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.2
2018-10-23,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.2
2018-10-24,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.2
2018-10-25,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.2
2018-10-26,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.2
2018-10-29,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.2
2018-10-30,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.2
2018-10-31,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.2
2018-11-01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.2
2018-11-02,0.01,0.02,0.01,0.02,10100.0,1.0,1.0,202.0,4.24
2018-11-05,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,4.24
2018-11-07,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,4.24
2018-11-08,0.01,0.01,0.01,0.01,3100.0,0.0,-0.5,31.0,4.86
2018-11-09,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-12,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-13,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-14,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-15,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-16,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-19,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-20,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-21,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-22,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-23,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-26,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-27,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-28,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-29,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-11-30,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-12-03,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-12-04,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.86
2018-12-05,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-06,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-07,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-10,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-11,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-12,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-13,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-14,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-17,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-18,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-19,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-20,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-21,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-24,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-26,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-27,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-28,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,4.66
2018-12-31,0.02,0.02,0.02,0.02,3000.0,0.0,1.0,60.0,5.86
2019-01-01,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,5.86
2019-01-02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,5.86
2019-01-03,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,5.86
2019-01-04,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,5.86
2019-01-07,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,5.86
2019-01-08,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,5.86
2019-01-09,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,5.86
2019-01-10,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,5.86
2019-01-11,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,5.86
2019-01-14,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,5.86
2019-01-15,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.82
2019-01-16,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.82
2019-01-17,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.82
2019-01-18,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-01-21,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-01-22,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-01-23,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-01-24,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-01-25,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-01-28,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-01-29,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-01-30,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-01-31,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-01,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-04,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-05,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-07,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-08,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-11,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-12,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-13,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-14,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-15,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-18,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-19,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-20,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-21,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-22,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-25,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-26,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-27,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-02-28,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-03-01,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-03-04,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-03-05,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-03-06,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-03-07,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-03-08,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-03-11,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,1.2
2019-03-12,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2019-03-13,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2019-03-14,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2019-03-15,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2019-03-18,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2019-03-19,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2019-03-20,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2019-03-21,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2019-03-22,0.02,0.04,0.02,0.04,8100.0,1.0,1.0,324.0,6.48
2019-03-25,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-03-26,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-03-27,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-03-28,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-03-29,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-01,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-02,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-03,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-05,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-08,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-09,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-10,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-11,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-12,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-15,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-16,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-17,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-18,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-22,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-23,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-24,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-25,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-26,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-29,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-04-30,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.48
2019-05-02,0.04,0.04,0.04,0.04,100.0,0.0,0.0,4.0,6.56
2019-05-03,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.56
2019-05-06,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.56
2019-05-07,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.56
2019-05-08,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.56
2019-05-09,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.56
2019-05-10,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,6.56
2019-05-13,0.02,0.04,0.02,0.04,5100.0,1.0,0.0,204.0,10.64
2019-05-14,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,10.64
2019-05-15,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,10.64
2019-05-16,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,10.64
2019-05-17,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,10.64
2019-05-21,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,10.64
2019-05-22,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,10.64
2019-05-23,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,10.64
2019-05-24,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,10.64
2019-05-27,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,10.64
2019-05-28,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,10.64
2019-05-29,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,10.64
2019-05-30,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,10.64
2019-05-31,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,10.64
2019-06-03,0.04,0.04,0.04,0.04,900.0,0.0,0.0,36.0,11.36
2019-06-04,0.03,0.03,0.03,0.03,400.0,0.0,-0.25,12.0,11.6
2019-06-06,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,5.12
2019-06-07,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,5.12
2019-06-10,0.03,0.03,0.03,0.03,23600.0,0.0,0.0,708.0,19.28
2019-06-11,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,19.28
2019-06-12,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,19.28
2019-06-13,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,19.28
2019-06-14,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,19.28
2019-06-17,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,19.28
2019-06-18,0.03,0.03,0.03,0.03,5000.0,0.0,0.0,150.0,22.28
2019-06-19,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-06-20,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-06-21,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-06-24,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-06-25,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-06-26,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-06-27,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-06-28,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-07-01,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-07-02,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-07-03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-07-04,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-07-05,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-07-08,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-07-09,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-07-10,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
2019-07-11,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,22.28
